,index,cycletime(s), totalflow(Veh/h),flow(1),flow(2),flow(3),flow(4),losttime(s),green_time(1),green_time(2),green_time(3),avgdelay,stopsPerVehicle,stopDelay,emissionsco,fuelconsumption,stdev_delay,avg_qlen
0,4,40,3040.0,608.0,912.0,608.0,912.0,9,10.23,10.23,10.23,15.926966416099999,0.670234354603,8.89698090354,7.242746884550001,0.10361583525800001,6.478238865469999,9.315863133819999
1,0,40,3040.0,760.0,760.0,760.0,760.0,9,10.23,10.23,10.23,16.6085868137,0.698877347337,9.55005467632,7.58187009582,0.108467383345,6.704488195930001,9.64135935427
2,10,50,3040.0,304.0,1216.0,304.0,1216.0,9,13.53,13.53,13.53,18.0224244884,0.6907710596619999,10.5953997915,7.96927303146,0.11400962849000001,10.1468686372,12.1483098805
3,100,50,4560.0,912.0,1368.0,912.0,1368.0,9,13.53,13.53,13.53,25.113478006100003,0.9229683347480001,14.7310435893,13.814325072,0.197629829357,11.7215681871,22.8045213194
4,120,80,4560.0,1140.0,1140.0,1140.0,1140.0,9,23.43,23.43,23.43,35.4377566317,0.896182103774,25.006813664499997,16.4983601214,0.236028041794,27.1785885946,37.5712082823
5,58,40,7600.0,760.0,1520.0,760.0,4560.0,9,10.23,10.23,10.23,53.3662088564,2.10358349406,30.362936649,23.321333249400002,0.333638530034,31.624151627600003,47.957277400699994
6,190,50,6080.0,608.0,1216.0,608.0,3648.0,9,13.53,13.53,13.53,53.507966626999995,1.8920723369299999,32.0304759459,20.1211999507,0.28785693777800003,35.7053014759,43.0238816175
7,94,40,4560.0,456.0,912.0,456.0,2736.0,9,10.23,10.23,10.23,55.1004513021,2.17190094866,31.4353312633,18.2975163643,0.261767043839,36.2348406298,38.4063386932
8,6,40,3040.0,304.0,608.0,304.0,1824.0,9,10.23,10.23,10.23,55.3823849926,2.15103154512,30.8669029453,16.553572668399998,0.236817920864,37.9468999306,33.9244037455
9,192,60,6080.0,1520.0,1520.0,1520.0,1520.0,9,16.83,16.83,16.83,64.7840947333,1.90978619847,42.6374051975,28.886139868,0.41324949739699995,23.3993371026,69.1214526879
10,90,40,4560.0,456.0,1824.0,456.0,1824.0,9,10.23,10.23,10.23,78.8136712117,2.91943780234,45.499033941,28.6452167734,0.409802815071,55.6501790689,64.0118598282
11,110,110,7600.0,760.0,3040.0,760.0,3040.0,9,33.33,33.33,33.33,84.1931208936,2.17746064107,56.6949328613,29.157249530700003,0.41712803334299997,55.3996041675,75.0421531607
12,202,70,6080.0,608.0,2432.0,608.0,2432.0,9,20.13,20.13,20.13,84.388565926,2.4403663669299998,54.988396881499995,28.178657113699998,0.403128141827,55.952535162,70.4854064129
13,204,70,6080.0,1216.0,1824.0,1216.0,1824.0,9,20.13,20.13,20.13,98.19881999729999,2.61896465039,66.5006383298,34.5592986905,0.494410567818,48.021708555699995,90.73278584110001
14,60,50,7600.0,1900.0,1900.0,1900.0,1900.0,9,13.53,13.53,13.53,102.864918216,3.39138652809,62.7832279024,40.258140975399996,0.575939069749,38.9529646721,100.387573158
15,64,50,7600.0,1520.0,2280.0,1520.0,2280.0,9,13.53,13.53,13.53,109.188210214,3.60910029852,66.7211706742,41.2753958266,0.5904920719110001,36.1948261566,104.744993417
